noise_regime,objective,eval_accuracy_oriented_gain,eval_accuracy_n_improves,eval_accuracy_n_pairs,eval_accuracy_wilcoxon_p,eval_ece_oriented_gain,eval_ece_n_improves,eval_ece_n_pairs,eval_ece_wilcoxon_p,eval_brier_oriented_gain,eval_brier_n_improves,eval_brier_n_pairs,eval_brier_wilcoxon_p,eval_nll_oriented_gain,eval_nll_n_improves,eval_nll_n_pairs,eval_nll_wilcoxon_p
asym_40,fisher_rao,-0.02383333333333341,0,3,nan,-0.09031395768622559,0,3,nan,-0.04795202612876892,0,3,nan,-0.012468536694844564,0,3,nan
asym_40,gce,-0.05300000000000001,0,3,nan,-0.23153754205008348,0,3,nan,-0.10210896531740825,0,3,nan,-0.06773048639297485,0,3,nan
asym_40,hellinger,-0.03300000000000003,0,3,nan,-0.12150612832109135,0,3,nan,-0.0711713433265686,0,3,nan,-0.05742659171422323,0,3,nan
asym_40,mae,-0.21450000000000002,0,3,nan,0.01449875642359257,2,3,nan,0.24850422143936157,3,3,nan,3.103239874045054,3,3,nan
asym_40,sce,-0.029333333333333395,0,3,nan,-0.19458393362164497,0,3,nan,-0.1401572326819102,0,3,nan,0.030215601126352947,2,3,nan
clean,fisher_rao,-0.0010000000000000009,0,3,nan,0.020866618181268393,3,3,nan,0.005005195736885071,3,3,nan,0.04096913834412893,3,3,nan
clean,gce,-0.00983333333333336,0,3,nan,0.028465679928660382,3,3,nan,0.019150329132874806,3,3,nan,0.09184363981088002,3,3,nan
clean,hellinger,-0.002666666666666706,1,3,nan,0.009347984875241909,3,3,nan,0.007560893893241882,3,3,nan,0.03394725422064463,3,3,nan
clean,mae,-0.024833333333333374,0,3,nan,0.051073157961169846,3,3,nan,0.052879415452480316,3,3,nan,0.24670608341693878,3,3,nan
clean,sce,-0.02400000000000002,0,3,nan,0.058494990366200594,3,3,nan,0.0580183540781339,3,3,nan,0.34810081621011096,3,3,nan
sym_20,fisher_rao,0.01100000000000001,3,3,nan,-0.1103269153535366,0,3,nan,-0.04399679104487101,0,3,nan,-0.15321344137191772,0,3,nan
sym_20,gce,0.007833333333333322,3,3,nan,-0.09302372688055037,0,3,nan,-0.033005947868029274,0,3,nan,-0.09744500120480855,0,3,nan
sym_20,hellinger,0.009666666666666638,3,3,nan,-0.11596992430339255,0,3,nan,-0.04185335338115692,0,3,nan,-0.14976659417152405,0,3,nan
sym_20,mae,-0.007500000000000025,0,3,nan,-0.06622215608507394,0,3,nan,0.000885695219039917,1,3,nan,0.06300771236419678,3,3,nan
sym_20,sce,-0.009000000000000008,0,3,nan,-0.05713346323370932,0,3,nan,0.008013914028803507,3,3,nan,0.15049313505490622,3,3,nan
sym_40,fisher_rao,0.021666666666666685,3,3,nan,-0.2519809789086382,0,3,nan,-0.13078157603740692,0,3,nan,-0.35235100984573364,0,3,nan
sym_40,gce,0.022333333333333316,3,3,nan,-0.2488223873426517,0,3,nan,-0.13564340770244598,0,3,nan,-0.3723096350828807,0,3,nan
sym_40,hellinger,0.01733333333333335,3,3,nan,-0.2672305174767971,0,3,nan,-0.1329850653807322,0,3,nan,-0.3665737311045329,0,3,nan
sym_40,mae,0.006000000000000043,3,3,nan,-0.20839331451803447,0,3,nan,-0.09427014986673991,0,3,nan,-0.15069482723871866,0,3,nan
sym_40,sce,0.013999999999999976,3,3,nan,-0.21854765691359843,0,3,nan,-0.1070729245742162,0,3,nan,-0.20106222232182822,0,3,nan
sym_60,fisher_rao,0.010333333333333306,3,3,nan,-0.23596826745321353,0,3,nan,-0.19138087828954062,0,3,nan,-0.427071491877238,0,3,nan
sym_60,gce,0.03583333333333331,3,3,nan,-0.4061144241516788,0,3,nan,-0.2822841554880142,0,3,nan,-0.6792572836081187,0,3,nan
sym_60,hellinger,0.006833333333333321,2,3,nan,-0.2790270873059829,0,3,nan,-0.21036620934804282,0,3,nan,-0.47823389371236164,0,3,nan
sym_60,mae,-0.09800000000000005,0,3,nan,-0.21872418448577324,0,3,nan,-0.025330891211827595,0,3,nan,0.29617059230804443,3,3,nan
sym_60,sce,0.030999999999999955,3,3,nan,-0.3550913245802125,0,3,nan,-0.25897854566574097,0,3,nan,-0.5637234250704447,0,3,nan
