noise_regime,schedule,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
clean,fr_then_gce,0,0.8215,0.08159933286905285,0.27291988662274447,0.6455525159835815
clean,fr_then_kl,0,0.824,0.052405126407742475,0.25708135570871216,0.5688230991363525
clean,gce_then_fr,0,0.839,0.07828939619660374,0.24946105347286843,0.5974777936935425
clean,kl_then_gce,0,0.835,0.06861631856858735,0.24433980768722363,0.5634312629699707
clean,fr_then_mae,0,0.82,0.10135984916985037,0.28172959518937707,0.7247876524925232
clean,kl,0,0.835,0.055330980211496385,0.23775756885673285,0.5241026878356934
clean,fisher_rao,0,0.8265,0.0919654187709093,0.2689568427668083,0.662956178188324
clean,gce,0,0.829,0.08459272703528406,0.2652922580817652,0.6346102356910706
clean,mae,0,0.6815,0.2429038347750902,0.5440854369125169,1.9867165088653564
clean,sce,0,0.7925,0.1460933951884508,0.3440013509326817,1.1568238735198975
clean,hellinger,0,0.8325,0.06253745904564856,0.24912993458693863,0.5532174706459045
